id,first_name,last_name,gender,current_year,current_college,shs_strand,first_choice,second_choice,third_choice,current_course,Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,result,Different_Course
55,,,,,,,,,,,4,3,4,3,2,3,4,4,5,3,4,4,3,3,1,3,3,4,1,1,3,4,3,1,4,0,0
56,,,,,,,,,,,4,3,3,2,1,4,4,4,-1,3,3,2,3,2,2,2,3,3,4,1,3,3,2,2,3,0,0
57,,,,,,,,,,,4,4,4,4,1,4,4,4,6,4,4,4,4,1,2,2,4,2,4,1,2,1,2,4,1,0,0
58,,,,,,,,,,,4,3,3,3,1,3,3,3,8,3,3,3,3,3,2,3,3,2,3,2,3,3,3,3,2,0,0
59,,,,,,,,,,,4,3,3,3,1,3,4,4,6,3,2,3,4,2,2,3,3,3,3,2,3,2,3,3,3,0,0
60,,,,,,,,,,,3,1,3,2,1,3,2,3,3,3,3,3,3,2,2,3,3,2,2,2,2,1,2,4,3,0,1
61,,,,,,,,,,,4,2,3,3,1,4,4,3,6,3,2,4,3,3,2,3,3,2,3,2,3,2,2,3,1,0,0
62,,,,,,,,,,,2,2,2,3,1,1,3,2,6,2,3,2,3,3,2,2,2,1,3,3,2,1,3,4,2,0,1
63,,,,,,,,,,,3,2,4,4,5,3,3,4,-1,3,1,3,3,3,2,3,3,1,2,1,1,1,1,4,1,0,0
64,,,,,,,,,,,3,4,4,4,1,3,4,1,6,2,3,3,3,2,2,2,2,2,3,3,2,3,3,3,1,0,0
65,,,,,,,,,,,4,4,4,3,1,3,4,3,6,3,3,3,3,1,2,3,3,3,2,1,3,2,3,3,3,0,0
66,,,,,,,,,,,4,3,3,3,1,3,3,2,8,3,2,3,4,2,2,3,3,2,2,2,3,2,3,3,3,0,0
67,,,,,,,,,,,4,3,3,3,1,3,3,3,8,3,3,3,3,2,2,3,3,2,2,2,2,2,3,4,3,0,0
68,,,,,,,,,,,3,4,2,3,1,1,1,1,3,2,3,2,1,1,2,3,2,2,2,3,2,1,1,3,3,0,1
69,,,,,,,,,,,4,3,4,4,1,3,3,3,2,3,2,3,3,2,2,2,3,3,2,2,3,2,3,2,4,0,0
70,,,,,,,,,,,4,4,4,4,1,3,3,3,2,3,2,3,4,4,2,3,3,2,2,1,3,2,3,3,3,0,0
71,,,,,,,,,,,4,2,4,4,1,3,3,3,-1,3,1,3,1,1,2,1,3,3,4,2,1,1,1,4,1,0,1
72,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,3,2,2,1,3,2,1,4,2,0,0
73,,,,,,,,,,,2,4,3,3,3,1,1,1,3,1,2,2,1,1,2,3,1,1,4,4,3,2,3,3,3,0,1
74,,,,,,,,,,,4,3,3,3,3,3,3,4,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,2,0,0
75,,,,,,,,,,,4,4,4,4,3,1,1,1,3,2,4,4,4,4,2,4,2,3,4,1,3,3,3,3,1,0,0
76,,,,,,,,,,,3,2,3,4,3,1,2,2,3,2,2,2,3,3,2,2,2,2,3,4,2,3,2,3,2,0,1
77,,,,,,,,,,,2,3,3,4,3,3,3,3,3,3,3,3,2,3,2,2,3,2,3,4,2,2,2,4,3,0,0
78,,,,,,,,,,,3,4,4,4,1,3,2,2,3,2,2,3,4,4,2,2,2,2,3,3,2,2,3,4,3,0,1
79,,,,,,,,,,,4,4,4,4,1,4,3,2,3,4,4,4,4,4,2,4,4,3,3,1,3,2,3,3,1,0,1
80,,,,,,,,,,,3,3,4,4,1,3,3,3,3,3,3,3,4,2,2,3,3,3,2,3,3,3,3,3,3,0,1
81,,,,,,,,,,,3,3,4,4,1,2,2,3,3,3,1,3,4,2,2,3,3,1,2,2,2,2,3,4,2,0,0
82,,,,,,,,,,,3,3,4,4,1,3,3,3,3,3,2,3,4,4,2,3,3,2,2,1,3,3,3,4,4,0,0
83,,,,,,,,,,,4,3,4,4,1,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,0,0
84,,,,,,,,,,,3,2,4,4,1,3,3,2,3,3,1,3,4,4,2,3,3,2,4,2,3,1,1,3,3,0,0
85,,,,,,,,,,,3,3,4,4,1,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,3,1,1,4,2,0,0
86,,,,,,,,,,,3,3,4,3,1,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,2,3,0,1
87,,,,,,,,,,,4,3,4,4,1,3,4,4,3,3,2,4,4,1,2,4,3,3,2,2,3,3,4,3,4,0,0
88,,,,,,,,,,,4,1,3,3,1,4,4,4,3,3,3,3,3,2,2,2,3,2,3,1,3,3,2,4,1,0,1
89,,,,,,,,,,,4,4,4,4,1,4,4,3,3,4,4,3,4,3,2,4,4,4,2,2,4,3,3,4,4,0,0
90,,,,,,,,,,,3,4,4,4,1,3,3,3,3,3,3,3,2,2,2,2,3,2,3,2,3,2,2,3,3,0,1
91,,,,,,,,,,,4,4,4,3,1,3,2,2,3,2,2,3,3,4,2,3,2,2,2,1,2,2,3,4,3,0,0
92,,,,,,,,,,,4,4,4,4,1,4,4,4,3,4,3,4,4,3,2,4,4,4,2,1,4,3,4,2,3,0,0
93,,,,,,,,,,,3,2,3,3,1,2,3,2,3,2,3,3,1,3,2,2,2,3,3,2,2,1,2,3,2,0,0
94,,,,,,,,,,,4,4,4,4,1,3,4,4,3,3,3,3,3,2,2,1,3,3,4,3,3,2,2,3,4,0,0
95,,,,,,,,,,,3,3,3,3,1,2,2,2,3,2,3,3,3,3,2,3,2,2,4,3,2,2,3,4,3,0,1
96,,,,,,,,,,,3,3,3,3,1,3,3,3,3,3,2,3,3,3,2,2,3,3,2,2,3,2,3,2,3,0,0
97,,,,,,,,,,,4,4,4,4,1,4,4,4,3,3,3,4,4,1,2,4,3,3,2,4,1,2,3,4,3,0,0
98,,,,,,,,,,,3,3,4,4,1,4,4,4,3,3,2,2,3,2,2,3,3,2,3,1,2,2,3,4,2,0,1
99,,,,,,,,,,,3,3,3,3,1,3,3,3,3,3,2,3,3,2,2,3,3,2,4,2,2,2,2,3,3,0,0
100,,,,,,,,,,,4,4,2,4,1,2,2,2,3,3,2,2,2,2,2,3,3,2,3,2,2,3,2,4,3,0,0
101,,,,,,,,,,,4,3,2,2,1,2,3,3,3,3,3,3,3,2,2,3,3,2,2,3,1,2,2,4,3,0,0
102,,,,,,,,,,,4,4,4,4,1,4,4,4,3,3,1,1,4,1,2,1,3,1,1,3,2,1,1,4,4,0,0
103,,,,,,,,,,,3,2,3,2,1,3,3,2,3,2,3,3,2,3,2,3,2,1,3,1,2,1,2,4,3,0,1
104,,,,,,,,,,,3,2,3,3,1,3,4,3,3,3,3,3,2,3,2,3,3,2,3,2,2,2,3,4,3,0,0
105,,,,,,,,,,,3,3,4,4,1,4,4,4,3,4,2,3,4,2,2,4,4,4,2,3,3,1,4,2,4,0,0
106,,,,,,,,,,,3,4,4,4,1,3,2,2,3,3,4,4,3,3,2,3,3,2,3,4,3,2,2,4,1,0,1
107,,,,,,,,,,,4,4,4,4,1,4,4,4,3,4,3,3,3,3,2,4,4,4,2,2,4,3,3,3,3,0,0
108,,,,,,,,,,,4,4,4,4,1,3,3,2,3,4,1,4,4,2,2,4,4,3,2,1,4,4,4,4,4,0,0
109,,,,,,,,,,,4,4,4,4,1,3,4,3,3,4,4,4,4,1,2,4,4,3,2,1,4,3,4,4,4,0,0
110,,,,,,,,,,,3,2,3,4,1,2,3,2,3,3,2,2,3,3,2,3,3,3,2,3,3,1,1,3,2,0,0
111,,,,,,,,,,,3,2,4,4,1,2,3,3,3,3,4,3,4,2,2,3,3,3,2,2,2,2,3,4,3,0,1
112,,,,,,,,,,,4,3,4,4,1,4,4,4,3,3,3,3,3,3,2,3,3,2,2,4,3,2,3,4,3,0,0
113,,,,,,,,,,,4,3,4,4,1,3,3,2,3,2,3,3,3,2,2,3,2,2,3,4,3,2,3,4,3,0,1
114,,,,,,,,,,,3,3,3,3,1,3,3,3,3,3,2,2,2,1,2,3,3,2,2,2,3,1,1,4,2,0,1
115,,,,,,,,,,,4,3,3,3,1,2,3,2,3,2,3,3,3,3,2,2,2,1,3,4,2,1,2,4,3,0,1
116,,,,,,,,,,,3,2,3,4,1,4,4,4,3,3,2,2,3,1,2,3,3,3,2,2,3,3,3,1,4,0,1
117,,,,,,,,,,,3,3,3,4,1,4,4,3,3,4,2,3,4,4,2,3,4,3,2,2,3,3,3,3,3,0,0
118,,,,,,,,,,,3,4,4,4,1,4,4,4,3,4,3,3,2,4,2,4,4,3,3,1,3,3,4,2,4,0,1
119,,,,,,,,,,,4,3,4,4,1,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,1,3,1,3,0,0
120,,,,,,,,,,,4,4,4,4,1,2,2,2,3,3,3,3,4,2,2,3,3,2,2,3,3,3,3,3,4,0,1
121,,,,,,,,,,,3,4,4,3,1,3,3,3,3,4,3,3,3,3,2,4,4,3,2,2,3,3,3,3,3,0,0
122,,,,,,,,,,,4,3,3,3,1,3,3,3,3,3,4,4,3,3,2,3,3,3,3,3,4,4,3,4,3,0,0
123,,,,,,,,,,,4,3,4,4,1,3,2,2,3,3,3,3,3,3,2,3,3,2,2,2,3,1,3,4,3,0,0
124,,,,,,,,,,,3,4,3,3,2,3,4,4,3,4,3,3,3,4,2,3,4,2,2,3,3,2,3,4,2,0,0
125,,,,,,,,,,,4,3,4,3,1,3,3,3,3,3,2,3,3,2,2,3,3,3,2,3,2,4,3,3,2,0,0
126,,,,,,,,,,,3,4,4,4,1,4,4,3,3,3,2,3,4,2,2,2,3,3,3,1,2,2,3,3,2,0,0
127,,,,,,,,,,,4,4,4,4,1,4,1,1,3,4,4,4,4,1,2,3,4,3,3,1,3,4,3,4,4,0,0
128,,,,,,,,,,,4,3,4,3,1,4,4,4,3,4,1,2,4,4,2,3,4,3,2,2,3,3,3,2,4,0,0
129,,,,,,,,,,,4,4,4,4,1,4,4,3,3,4,2,2,3,4,2,4,4,3,3,2,3,3,3,3,4,0,1
130,,,,,,,,,,,4,3,2,3,1,3,2,3,3,3,2,3,3,2,2,3,3,2,2,2,2,3,3,4,2,0,0
131,,,,,,,,,,,3,3,3,4,1,2,1,1,3,1,3,3,2,3,2,3,1,1,2,2,2,2,1,4,2,0,1
132,,,,,,,,,,,4,3,3,3,1,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,2,2,4,3,0,0
133,,,,,,,,,,,4,4,4,4,1,3,3,3,3,3,3,3,4,3,2,3,3,3,3,1,3,3,3,3,3,0,0
134,,,,,,,,,,,3,3,4,3,1,3,3,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,0,0
135,,,,,,,,,,,3,3,3,3,1,3,3,3,3,3,2,3,3,3,2,2,3,2,3,2,2,3,3,3,2,0,0
136,,,,,,,,,,,4,4,4,3,1,3,3,3,1,3,2,2,3,1,2,3,3,2,2,2,3,2,2,4,1,0,0
137,,,,,,,,,,,3,3,4,4,1,3,2,3,3,3,2,3,3,3,2,2,3,3,2,4,3,3,3,3,3,0,1
138,,,,,,,,,,,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,3,3,3,3,0,0
139,,,,,,,,,,,4,3,4,4,1,4,4,3,3,4,2,3,3,2,2,3,4,3,3,1,3,3,3,3,3,0,0
140,,,,,,,,,,,3,2,3,3,1,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,0,0
141,,,,,,,,,,,4,3,4,3,1,4,4,4,3,4,2,3,4,2,2,3,4,3,1,1,4,3,4,2,2,0,0
142,,,,,,,,,,,4,4,4,4,1,4,4,4,3,3,2,2,2,3,2,3,3,3,3,1,3,2,3,4,4,0,0
143,,,,,,,,,,,4,4,4,4,1,4,4,4,3,3,4,3,3,4,2,2,3,2,2,1,3,2,2,3,3,0,0
144,,,,,,,,,,,4,4,4,4,1,4,4,4,3,4,4,2,4,3,2,4,4,2,4,4,3,2,3,3,3,0,1
145,,,,,,,,,,,3,3,3,3,1,3,3,2,3,3,3,3,2,3,2,3,3,3,2,2,3,3,3,3,2,0,0
146,,,,,,,,,,,3,3,3,3,1,2,2,2,3,3,3,3,3,2,2,3,3,3,2,2,3,3,3,3,3,0,1
147,,,,,,,,,,,3,3,4,4,1,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,1,1,1,4,3,0,0
148,,,,,,,,,,,3,2,4,4,1,3,4,2,3,4,3,3,3,3,2,3,4,3,3,3,2,2,3,3,2,0,0
149,,,,,,,,,,,3,3,4,3,1,4,3,3,3,4,2,3,3,2,2,2,4,4,3,2,3,2,3,2,3,0,0
150,,,,,,,,,,,3,3,3,4,1,3,3,2,3,2,3,3,2,2,2,2,2,3,3,2,3,2,2,3,2,0,0
151,,,,,,,,,,,3,4,4,4,1,3,3,2,3,2,2,3,3,2,2,3,2,2,2,2,3,2,3,2,3,0,1
152,,,,,,,,,,,4,4,3,4,1,2,2,2,3,3,3,4,4,3,2,2,3,3,2,3,3,3,3,3,4,0,0
153,,,,,,,,,,,4,4,4,4,1,4,4,3,3,4,4,4,4,3,2,2,4,2,3,1,2,2,2,4,3,0,1
154,,,,,,,,,,,4,2,2,2,1,2,2,2,3,2,2,2,2,3,2,4,2,2,3,4,2,3,3,3,4,0,1
155,,,,,,,,,,,3,2,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,0,0
156,,,,,,,,,,,3,3,4,1,1,2,4,3,3,4,3,2,4,2,2,3,4,2,2,4,2,3,3,4,3,0,0
157,,,,,,,,,,,4,4,4,3,1,2,3,2,3,3,1,3,3,4,2,2,3,2,4,2,3,2,2,4,2,0,1
158,,,,,,,,,,,3,3,4,4,1,3,4,3,3,3,2,3,3,2,2,3,3,3,2,2,3,3,1,3,2,0,0
159,,,,,,,,,,,4,3,4,4,1,4,4,4,3,3,3,4,4,2,2,3,3,3,3,1,3,3,3,3,4,0,0
160,,,,,,,,,,,4,3,4,4,1,3,3,3,3,4,3,3,4,3,2,3,4,3,3,2,3,2,3,4,3,0,1
161,,,,,,,,,,,4,4,4,4,1,3,3,3,3,4,3,3,4,3,2,4,4,4,3,3,3,3,3,4,3,0,1
162,,,,,,,,,,,3,4,3,4,1,2,3,2,3,3,3,3,4,4,2,2,3,2,3,2,3,1,3,4,3,0,0
163,,,,,,,,,,,4,4,4,4,1,4,4,4,3,4,4,4,4,4,2,3,4,4,4,2,4,4,4,4,4,0,0
164,,,,,,,,,,,4,1,4,4,1,3,3,3,3,3,4,4,3,3,2,3,3,2,2,2,3,3,4,3,2,0,0
165,,,,,,,,,,,3,2,3,3,1,3,3,2,2,3,2,3,2,1,2,3,3,2,2,2,3,2,3,3,3,0,0
166,,,,,,,,,,,4,4,4,4,1,3,4,3,3,4,2,3,4,3,2,3,4,3,3,1,3,2,3,3,3,0,0
167,,,,,,,,,,,4,4,4,3,1,3,3,2,3,3,3,3,4,3,2,3,3,2,2,2,3,2,2,4,1,0,1
168,,,,,,,,,,,4,3,4,4,1,2,3,3,3,3,3,3,2,3,2,3,3,2,2,1,2,2,3,4,3,0,0
169,,,,,,,,,,,4,4,4,3,1,4,4,4,3,3,4,4,4,4,2,4,3,2,2,2,3,3,3,3,4,0,0
170,,,,,,,,,,,4,4,3,3,1,3,4,4,3,4,2,2,3,2,2,3,4,3,2,2,3,3,3,2,2,0,0
171,,,,,,,,,,,4,4,3,4,1,2,1,1,3,1,1,1,3,3,2,3,1,2,2,4,3,3,3,4,4,0,0
172,,,,,,,,,,,4,3,3,3,1,4,4,3,3,4,3,3,4,3,2,4,4,3,2,3,3,3,3,4,3,0,0
173,,,,,,,,,,,3,2,3,3,1,3,3,3,3,3,2,2,2,3,2,2,3,2,3,2,2,3,3,3,2,0,0
174,,,,,,,,,,,3,3,3,4,1,2,2,2,3,3,2,3,4,3,2,2,3,2,3,3,2,2,3,3,2,0,1
175,,,,,,,,,,,4,3,4,4,1,3,4,4,3,4,1,1,4,1,2,3,4,3,2,2,3,2,3,3,4,0,0
176,,,,,,,,,,,4,4,4,4,1,3,3,2,3,4,1,1,4,3,2,3,4,1,1,2,3,3,3,4,3,0,0
177,,,,,,,,,,,4,4,4,3,1,3,4,2,3,4,2,3,3,1,2,4,4,3,2,2,3,3,3,3,3,0,0
178,,,,,,,,,,,4,2,3,3,1,3,3,2,3,3,2,2,3,2,2,3,3,3,2,3,3,2,3,3,2,0,0
179,,,,,,,,,,,4,4,4,4,1,2,3,4,3,4,2,2,4,2,2,3,4,4,2,3,2,3,3,3,3,0,0
180,,,,,,,,,,,4,4,3,4,1,2,2,2,3,2,3,3,2,2,2,3,2,2,2,3,3,3,4,3,2,0,1
181,,,,,,,,,,,3,3,3,3,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,3,3,2,3,0,0
182,,,,,,,,,,,3,2,3,2,1,2,3,2,3,2,2,3,2,3,2,3,2,2,2,3,2,3,3,4,3,0,1
183,,,,,,,,,,,3,3,4,3,1,4,4,4,3,4,4,4,3,2,2,4,4,3,2,3,4,3,3,4,3,0,0
184,,,,,,,,,,,3,3,3,3,1,3,3,2,3,3,3,4,4,3,2,3,3,2,2,3,3,2,3,4,3,0,0
185,,,,,,,,,,,4,4,4,4,1,3,3,2,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,4,3,0,0
186,,,,,,,,,,,4,4,2,2,1,4,4,4,3,4,2,4,1,2,2,4,4,3,1,1,4,4,3,2,2,0,0
187,,,,,,,,,,,4,3,3,3,1,3,3,2,3,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,0,0
188,,,,,,,,,,,3,3,4,4,1,3,3,3,3,3,2,3,4,4,2,2,3,3,3,4,3,2,2,2,3,0,1
189,,,,,,,,,,,3,4,4,4,1,2,3,1,3,3,1,1,1,3,2,3,3,3,2,2,1,1,1,4,1,0,1
190,,,,,,,,,,,3,2,3,3,1,3,3,2,3,3,2,2,2,2,2,2,3,3,3,2,3,2,1,2,2,0,0
191,,,,,,,,,,,4,4,4,4,1,4,4,4,3,3,4,3,2,2,2,2,3,3,3,1,3,3,2,2,3,0,0
192,,,,,,,,,,,3,1,3,3,1,3,3,4,3,3,4,2,1,2,2,1,3,3,4,1,1,1,1,3,3,0,0
193,,,,,,,,,,,3,1,3,3,1,2,3,2,3,3,1,3,3,3,2,3,3,3,2,2,3,3,3,4,1,0,1
194,,,,,,,,,,,3,3,3,3,1,3,3,3,2,4,3,3,4,3,2,3,4,3,2,3,3,3,1,3,3,0,0
195,,,,,,,,,,,3,4,4,4,1,2,2,2,3,2,3,3,4,3,2,3,2,3,3,3,3,3,2,2,4,0,1
196,,,,,,,,,,,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,0,0
197,,,,,,,,,,,4,4,4,4,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,4,0,1
198,,,,,,,,,,,2,1,3,3,1,3,3,3,3,3,1,3,3,2,2,1,3,3,3,3,3,1,2,4,3,0,0
199,,,,,,,,,,,4,3,4,4,1,3,3,1,3,3,3,3,3,2,2,2,3,2,2,2,3,2,3,2,3,0,1
200,,,,,,,,,,,4,4,4,4,1,3,2,2,3,2,2,2,3,2,2,2,2,2,3,2,3,2,2,3,2,0,1
201,,,,,,,,,,,3,3,3,3,1,1,2,2,3,3,3,2,2,4,2,3,3,3,3,1,3,3,3,3,3,0,1
202,,,,,,,,,,,4,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,0,1
203,,,,,,,,,,,3,4,4,3,1,2,2,3,3,2,3,3,2,3,2,3,2,3,2,3,3,3,3,4,2,0,1
